spp,indiv,leaf_type,no_leaves,total_mass,total_area,leaf_size,lma_leaf,rachis_mass,rachis_area,no_leaflets,leaflet_size,lma_leaflet
acalon,1,simple,5,1.6282,10686,2137.2,0.152368,0,0,5,2137.2,0.152368
acalon,2,simple,5,0.8699,7874.9,1574.98,0.110465,0,0,5,1574.98,0.110465
acalon,3,simple,6,1.1359,9432.5,1572.083,0.120424,0,0,6,1572.083,0.120424
acasua,1,simple,5,0.1505,1766.5,353.3,0.085197,0,0,5,353.3,0.085197
acasua,2,simple,5,0.1964,1325.9,265.18,0.148126,0,0,5,265.18,0.148126
acasua,3,simple,5,0.3035,1696.9,339.38,0.178856,0,0,5,339.38,0.178856
acasua,4,simple,6,0.3759,2395.3,399.217,0.156932,0,0,6,399.217,0.156932
acater,1,compound,5,4.9371,36631.2,7326.24,0.134778549,0.6308,1307.2,51,692.627,0.121909
acater,2,compound,4,2.4064,17430.18,4357.545,0.138059389,0.3178,683.18,33,507.485,0.124715
acater,3,compound,4,2.6067,21016.76,5254.19,0.124029584,0.3119,709.76,50,406.14,0.113005
acater,4,compound,6,3.3818,25304.16,4217.36,0.133646009,0.4155,910.16,64,381.156,0.1216
acauli,1,simple,16,0.0219,208.82,13.051,0.104875,0,0,16,13.051,0.104875
acauli,2,simple,15,0.0135,150.71,10.047,0.089576,0,0,15,10.047,0.089576
acauli,3,simple,10,0.0149,148.94,14.894,0.10004,0,0,10,14.894,0.10004
acauli,4,simple,29,0.0294,373.95,12.895,0.07862,0,0,29,12.895,0.07862
acthel,1,simple,5,0.3099,3902.9,780.58,0.079402,0,0,5,780.58,0.079402
acthel,2,simple,7,0.2188,2706.1,386.586,0.080854,0,0,7,386.586,0.080854
acthel,3,simple,8,0.3867,4147.2,518.4,0.093244,0,0,8,518.4,0.093244
acthel,4,simple,6,0.2959,3953.1,658.85,0.074853,0,0,6,658.85,0.074853
aoteri,1,simple,22,0.0672,661.93,30.088,0.101521,0,0,22,30.088,0.101521
aoteri,2,simple,25,0.0835,817.34,32.694,0.102161,0,0,25,32.694,0.102161
aoteri,3,simple,28,0.0517,510.42,18.229,0.101289,0,0,28,18.229,0.101289
aoteri,4,simple,24,0.0643,632.1,26.338,0.101724,0,0,24,26.338,0.101724
aoteri,5,simple,24,0.0547,577.71,24.071,0.094684,0,0,24,24.071,0.094684
banser,1,simple,5,5.5575,20729,4145.8,0.268103,0,0,5,4145.8,0.268103
banser,2,simple,6,3.8854,16407,2734.5,0.236814,0,0,6,2734.5,0.236814
banser,3,simple,6,5.0374,21754,3625.667,0.231562,0,0,6,3625.667,0.231562
banser,4,simple,5,3.3405,14340,2868,0.23295,0,0,5,2868,0.23295
corref,1,simple,7,0.329,2943.6,420.514,0.111768,0,0,7,420.514,0.111768
corref,2,simple,8,0.2991,3482.9,435.363,0.085877,0,0,8,435.363,0.085877
corref,4,simple,7,0.4114,4337.6,619.657,0.094845,0,0,7,619.657,0.094845
corref,5,simple,6,0.2383,2328.7,388.117,0.102332,0,0,6,388.117,0.102332
dilret,1,simple,37,0.0115,231.74,6.263,0.049625,0,0,37,6.263,0.049625
dilret,2,simple,28,0.0093,173.98,6.214,0.053454,0,0,28,6.214,0.053454
dilret,3,simple,28,0.0099,219.98,7.856,0.045004,0,0,28,7.856,0.045004
gomlat,1,simple,5,0.2106,2326.1,465.22,0.090538,0,0,5,465.22,0.090538
gomlat,2,simple,5,0.236,2771,554.2,0.085168,0,0,5,554.2,0.085168
gomlat,3,simple,6,0.2006,2332.2,388.7,0.086013,0,0,6,388.7,0.086013
gomlat,4,simple,4,0.1766,1894.6,473.65,0.093212,0,0,4,473.65,0.093212
gonteu,1,simple,10,0.0304,435.92,43.592,0.069738,0,0,10,43.592,0.069738
gonteu,2,simple,8,0.0235,362.77,45.346,0.064779,0,0,8,45.346,0.064779
gonteu,3,simple,8,0.033,475.64,59.455,0.06938,0,0,8,59.455,0.06938
gonteu,4,simple,8,0.0174,279.93,34.991,0.062158,0,0,8,34.991,0.062158
gonteu,5,simple,9,0.0373,768.63,85.403,0.048528,0,0,9,85.403,0.048528
leulan,1,simple,18,0.0366,536.98,29.832,0.068159,0,0,18,29.832,0.068159
leulan,2,simple,13,0.0168,310.79,23.907,0.054056,0,0,13,23.907,0.054056
leulan,3,simple,18,0.0257,377,20.944,0.06817,0,0,18,20.944,0.06817
leulan,5,simple,24,0.0335,503.74,20.989,0.066503,0,0,24,20.989,0.066503
monell,1,simple,7,0.028,284.32,40.617,0.098481,0,0,7,40.617,0.098481
monell,2,simple,8,0.0561,330.08,41.26,0.169959,0,0,8,41.26,0.169959
monell,3,simple,7,0.0405,324.05,46.293,0.124981,0,0,7,46.293,0.124981
monell,4,simple,8,0.0429,373.39,46.674,0.114893,0,0,8,46.674,0.114893
pimlin,1,simple,12,0.0182,276.42,23.035,0.065842,0,0,12,23.035,0.065842
pimlin,2,simple,5,0.0104,186.55,37.31,0.055749,0,0,5,37.31,0.055749
pimlin,3,simple,5,0.0173,381.73,76.346,0.04532,0,0,5,76.346,0.04532
pimlin,4,simple,9,0.0161,276.84,30.76,0.058156,0,0,9,30.76,0.058156
plaeri,1,simple,17,0.0099,130.87,7.698,0.075648,0,0,17,7.698,0.075648
plaeri,2,simple,15,0.0061,73.661,4.911,0.082812,0,0,15,4.911,0.082812
plaeri,3,simple,33,0.0125,187.56,5.684,0.066645,0,0,33,5.684,0.066645
plaeri,4,simple,30,0.0126,162.31,5.41,0.077629,0,0,30,5.41,0.077629
pomumb,1,simple,4,0.0231,470.08,117.52,0.049141,0,0,4,117.52,0.049141
pomumb,2,simple,6,0.0188,442.5,73.75,0.042486,0,0,6,73.75,0.042486
pomumb,3,simple,9,0.0176,437.45,48.606,0.040233,0,0,9,48.606,0.040233
pomumb,4,simple,6,0.0124,255.03,42.505,0.048622,0,0,6,42.505,0.048622
ricpin,1,simple,17,0.1409,951.68,55.981,0.148054,0,0,17,55.981,0.148054
ricpin,2,simple,14,0.1194,831.27,59.376,0.143636,0,0,14,59.376,0.143636
ricpin,3,simple,17,0.083,579,34.059,0.143351,0,0,17,34.059,0.143351
ricpin,4,simple,8,0.0654,446.61,55.826,0.146436,0,0,8,55.826,0.146436
ricpin,5,simple,14,0.1228,941.01,67.215,0.130498,0,0,14,67.215,0.130498
teteri,1,simple,14,0.0219,238.52,17.037,0.091816,0,0,14,17.037,0.091816
teteri,2,simple,16,0.0259,280.39,17.524,0.092371,0,0,16,17.524,0.092371
teteri,3,simple,12,0.0184,202.48,16.873,0.090873,0,0,12,16.873,0.090873
teteri,4,simple,17,0.0261,353.74,20.808,0.073783,0,0,17,20.808,0.073783
teteri,5,simple,15,0.0219,257.31,17.154,0.085111,0,0,15,17.154,0.085111