spp,growth,site,indiv,flow,heigth_cm,diam_mm,collector,collection_date,notes,sampled,date_last_fire,age_yr
gomvir,seed,2000B,5,y,65,3.1,Barb&Dan,2002-09-20,,,2000-09-15,2.01
gonteu,resp,2000B,1,?,53,2.6,Barb&Dan,2002-09-20,,,2000-09-15,2.01
gonteu,resp,2000B,2,?,56,2,Barb&Dan,2002-09-20,,,2000-09-15,2.01
gonteu,resp,2000B,3,?,49,1.7,Barb&Dan,2002-09-20,,,2000-09-15,2.01
gonteu,resp,2000B,4,?,55,3,Barb&Dan,2002-09-20,,,2000-09-15,2.01
gonteu,resp,2000B,5,?,50,2.4,Barb&Dan,2002-09-20,,,2000-09-15,2.01
leulan,resp,2000B,1,n,97,5,Barb&Dan,2002-09-20,,,2000-09-15,2.01
leulan,resp,2000B,2,n,102,10.6,Barb&Dan,2002-09-20,,,2000-09-15,2.01
leulan,resp,2000B,3,n,113,5.8,Barb&Dan,2002-09-20,,,2000-09-15,2.01
leulan,resp,2000B,4,n,127,9,Barb&Dan,2002-09-20,,,2000-09-15,2.01
leulan,resp,2000B,5,n,92,5.5,Barb&Dan,2002-09-20,,,2000-09-15,2.01
perlev,seed,2000B,1,n,72,8.1,Barb&Dan,2002-09-20,,,2000-09-15,2.01
perlev,seed,2000B,2,n,12,2.1,Barb&Dan,2002-09-20,,,2000-09-15,2.01
perlev,seed,2000B,3,n,5,1.6,Barb&Dan,2002-09-20,,,2000-09-15,2.01
perlev,seed,2000B,4,n,12,2.4,Barb&Dan,2002-09-20,,,2000-09-15,2.01
perlev,resp,2000B,1,n,162,12.7,Barb&Dan,2002-09-20,,,2000-09-15,2.01
perlev,resp,2000B,2,n,120,17,Barb&Dan,2002-09-20,,,2000-09-15,2.01
perlev,resp,2000B,3,n,170,17.4,Barb&Dan,2002-09-20,,,2000-09-15,2.01
perlev,resp,2000B,4,n,98,9,Barb&Dan,2002-09-20,,,2000-09-15,2.01
perlev,resp,2000B,5,n,125,14.5,Barb&Dan,2002-09-20,,,2000-09-15,2.01
pimlin,seed,2000B,1,y,59,2.8,Barb&Dan,2002-09-20,,,2000-09-15,2.01
pimlin,seed,2000B,2,y,123,3.9,Barb&Dan,2002-09-20,,,2000-09-15,2.01
pimlin,seed,2000B,3,y,116,3.8,Barb&Dan,2002-09-20,,,2000-09-15,2.01
pimlin,seed,2000B,4,y,97,3.6,Barb&Dan,2002-09-20,,,2000-09-15,2.01
pimlin,seed,2000B,5,y,126,4.7,Barb&Dan,2002-09-20,,,2000-09-15,2.01
pimlin,seed,2000B,6,y,140,8,Barb&Dan,2002-09-20,,,2000-09-15,2.01
pimlin,seed,2000b,1,y,158,8,Dan,2003-03-14,,y,2000-09-15,2.49
pimlin,seed,2000b,2,y,136,5.3,Dan,2003-03-14,,y,2000-09-15,2.49
pimlin,seed,2000b,3,y,135,6.3,Dan,2003-03-14,,y,2000-09-15,2.49
pimlin,seed,2000b,4,y,128,4.1,Dan,2003-03-14,,y,2000-09-15,2.49
platyA,seed,2000B,1,y,21,1.5,Barb&Dan,2002-09-20,,,2000-09-15,2.01
platyA,seed,2000B,2,y,20,1,Barb&Dan,2002-09-20,,,2000-09-15,2.01
platyA,seed,2000B,3,y,24,1.5,Barb&Dan,2002-09-20,,,2000-09-15,2.01
platyA,seed,2000B,4,y,19,1.5,Barb&Dan,2002-09-20,,,2000-09-15,2.01
platyA,seed,2000B,5,y,17,1.4,Barb&Dan,2002-09-20,,,2000-09-15,2.01
platyA,seed,2000b,1,y,29,1.7,Dan,2003-03-14,,y,2000-09-15,2.49
platyA,seed,2000b,2,y,23,1.3,Dan,2003-03-14,,y,2000-09-15,2.49
platyA,seed,2000b,3,y,26,1.3,Dan,2003-03-14,,y,2000-09-15,2.49
platyA,seed,2000b,4,y,18,1.4,Dan,2003-03-14,,y,2000-09-15,2.49
ricpin,resp,2000B,1,y,67,3.7,Barb&Dan,2002-09-20,,,2000-09-15,2.01
ricpin,resp,2000B,2,y,50,3.6,Barb&Dan,2002-09-20,,,2000-09-15,2.01
ricpin,resp,2000B,3,y,56,3.7,Barb&Dan,2002-09-20,,,2000-09-15,2.01
ricpin,resp,2000B,4,y,75,8.7,Barb&Dan,2002-09-20,,,2000-09-15,2.01
ricpin,resp,2000B,5,y,62,5,Barb&Dan,2002-09-20,,,2000-09-15,2.01
tetthy,resp,2000B,1,y,29,1.4,Barb&Dan,2002-09-20,,,2000-09-15,2.01
tetthy,resp,2000B,2,y,56,3.4,Barb&Dan,2002-09-20,,,2000-09-15,2.01
tetthy,resp,2000B,3,y,54,2.4,Barb&Dan,2002-09-20,,,2000-09-15,2.01
tetthy,resp,2000B,4,y,42,1.5,Barb&Dan,2002-09-20,,,2000-09-15,2.01
tetthy,resp,2000B,5,y,45,2.1,Barb&Dan,2002-09-20,,,2000-09-15,2.01
pomumb,seed,2000a,1,y,19,1.55,Dan,2003-03-14,,y,2000-09-15,2.49
pomumb,seed,2000a,2,y,21,1.5,Dan,2003-03-14,,y,2000-09-15,2.49
pomumb,seed,2000a,3,y,20,1.75,Dan,2003-03-14,,y,2000-09-15,2.49
pomumb,seed,2000a,4,y,28,1.4,Dan,2003-03-14,,y,2000-09-15,2.49
acasop,seed,1998a,1,y,240,12.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acasop,seed,1998a,2,y,210,11.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acasop,seed,1998a,3,y,184,19.1,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acasop,seed,1998a,4,y,262,14,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acasop,seed,1998a,5,y,240,13,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acasua,seed,1998a,1,n,110,6.8,Barb&Dan,2002-09-20,,,1998-01-15,4.68
acasua,seed,1998a,1,y,130,5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acasua,seed,1998a,2,y,125,4.8,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acasua,seed,1998a,3,y,201,7.8,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acasua,seed,1998a,4,y,245,12,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acasua,seed,1998a,5,y,157,9.4,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acauli,seed,1998a,1,y,175,17.4,Barb&Dan,2002-09-20,,,1998-01-15,4.68
acauli,seed,1998a,2,y,178,12.2,Barb&Dan,2002-09-20,,,1998-01-15,4.68
acauli,seed,1998a,3,y,168,10,Barb&Dan,2002-09-20,,,1998-01-15,4.68
acauli,seed,1998a,4,y,205,15.5,Barb&Dan,2002-09-20,,,1998-01-15,4.68
acauli,seed,1998a,5,y,165,8.9,Barb&Dan,2002-09-20,,,1998-01-15,4.68
acauli,seed,1998a,1,y,228,22.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acauli,seed,1998a,2,y,229,23.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acauli,seed,1998a,3,y,187,15.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acauli,seed,1998a,4,y,228,18,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acauli,seed,1998a,5,y,285,20,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acauli,seed,1998a,1,y,260,21.7,Dan,2003-03-14,,y,1998-01-15,5.16
acauli,seed,1998a,2,y,241,33.8,Dan,2003-03-14,,y,1998-01-15,5.16
acauli,seed,1998a,3,y,225,14.5,Dan,2003-03-14,,y,1998-01-15,5.16
acauli,seed,1998a,4,y,190,,Dan,2003-03-14,,y,1998-01-15,5.16
acthel,seed,1998a,1,y,138,4.9,Barb&Dan,2002-09-20,"surviving in a large gap, large old indivd, fallen over and sprouted up again",,1998-01-15,4.68
acthel,seed,1998a,2,y,140,5.3,Barb&Dan,2002-09-20,"surviving in a large gap, large old indivd, fallen over and sprouted up again",,1998-01-15,4.68
acthel,seed,1998a,3,y,123,3.3,Barb&Dan,2002-09-20,"surviving in a large gap, large old indivd, fallen over and sprouted up again",,1998-01-15,4.68
acthel,seed,1998a,4,y,120,4.4,Barb&Dan,2002-09-20,"surviving in a large gap, large old indivd, fallen over and sprouted up again",,1998-01-15,4.68
acthel,seed,1998a,5,y,165,9.5,Barb&Dan,2002-09-20,"surviving in a large gap, large old indivd, fallen over and sprouted up again",,1998-01-15,4.68
banser,seed,1998a,1,n,135,9.1,Barb&Dan,2002-09-20,,,1998-01-15,4.68
banser,seed,1998a,2,n,95,7.8,Barb&Dan,2002-09-20,,,1998-01-15,4.68
banser,seed,1998a,3,n,43,3.6,Barb&Dan,2002-09-20,,,1998-01-15,4.68
banser,seed,1998a,4,n,18,2.6,Barb&Dan,2002-09-20,,,1998-01-15,4.68
banser,seed,1998a,5,n,38,3.4,Barb&Dan,2002-09-20,,,1998-01-15,4.68
banser,seed,1998a,6,n,140,8.2,Barb&Dan,2002-09-20,,,1998-01-15,4.68
banser,seed,1998a,2,n,56,2.7,Barb&Dan,2002-09-20,,,1998-01-15,4.68
banser,seed,1998a,3,n,78,3.4,Barb&Dan,2002-09-20,,,1998-01-15,4.68
banser,seed,1998a,4,n,49,2.3,Barb&Dan,2002-09-20,,,1998-01-15,4.68
banser,seed,1998a,5,n,77,2.5,Barb&Dan,2002-09-20,,,1998-01-15,4.68
banser,resp,1998a,1,n,205,18.2,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
banser,resp,1998a,2,n,390,29.2,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
banser,resp,1998a,3,n,270,30,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
banser,resp,1998a,4,n,290,26,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
banser,resp,1998a,5,n,360,32.3,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
banser,seed,1998a,1,n,56,5.7,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
banser,seed,1998a,2,n,52,5.3,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
banser,seed,1998a,3,n,51,4.8,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
banser,seed,1998a,4,n,71,4.2,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
banser,seed,1998a,5,n,61,4.2,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
corref,resp,1998a,1,n,53,3.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
corref,resp,1998a,2,y,88,4.4,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
corref,resp,1998a,3,y,81,3.8,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
corref,resp,1998a,4,y,66,4,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
corref,resp,1998a,5,y,102,5.6,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
dilret,seed,1998a,1,y,140,9.5,Barb&Dan,2002-09-20,,,1998-01-15,4.68
dilret,seed,1998a,2,y,185,13,Barb&Dan,2002-09-20,,,1998-01-15,4.68
dilret,seed,1998a,3,y,165,8.1,Barb&Dan,2002-09-20,,,1998-01-15,4.68
dilret,seed,1998a,4,y,175,7.2,Barb&Dan,2002-09-20,,,1998-01-15,4.68
dilret,seed,1998a,5,y,143,6.6,Barb&Dan,2002-09-20,,,1998-01-15,4.68
dilret,seed,1998a,1,y,152,13.7,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
dilret,seed,1998a,2,y,195,17.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
dilret,seed,1998a,3,y,177,8.6,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
dilret,seed,1998a,4,y,175,10.2,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
dilret,seed,1998a,5,y,153,10.8,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
dilret,seed,1998a,1,y,226,15.5,Dan,2003-03-14,,y,1998-01-15,5.16
dilret,seed,1998a,2,y,182,9,Dan,2003-03-14,,y,1998-01-15,5.16
dilret,seed,1998a,3,y,172,10.05,Dan,2003-03-14,,y,1998-01-15,5.16
gomlat,seed,1998a,1,y,206,13.5,Barb&Dan,2002-09-20,,,1998-01-15,4.68
gomlat,seed,1998a,2,y,203,13.5,Barb&Dan,2002-09-20,,,1998-01-15,4.68
gomlat,seed,1998a,3,y,195,14.3,Barb&Dan,2002-09-20,,,1998-01-15,4.68
gomlat,seed,1998a,4,y,188,11.3,Barb&Dan,2002-09-20,,,1998-01-15,4.68
gomlat,seed,1998a,5,y,173,10.7,Barb&Dan,2002-09-20,,,1998-01-15,4.68
gomlat,seed,1998a,1,y,185,16.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
gomlat,seed,1998a,2,y,215,16.1,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
gomlat,seed,1998a,3,y,220,13,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
gomlat,seed,1998a,4,y,220,14.1,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
gomlat,seed,1998a,5,y,275,18.8,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
gomlat,seed,1998a,1,y,290,22.287,Dan,2003-03-14,,y,1998-01-15,5.16
gomlat,seed,1998a,2,y,195,11.8,Dan,2003-03-14,,y,1998-01-15,5.16
gomlat,seed,1998a,3,y,201,12.73,Dan,2003-03-14,,y,1998-01-15,5.16
gomlat,seed,1998a,4,y,220,,Dan,2003-03-14,,y,1998-01-15,5.16
gonteu,resp,1998a,1,n,47,1.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
gonteu,resp,1998a,2,n,56,2.1,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
gonteu,resp,1998a,3,n,50,1.3,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
gonteu,resp,1998a,4,n,33,1.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
gonteu,resp,1998a,5,n,69,2.7,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
leueri,resp,1998a,1,y,114,8,Barb&Dan,2002-09-20,,,1998-01-15,4.68
leueri,resp,1998a,2,y,137,5.9,Barb&Dan,2002-09-20,,,1998-01-15,4.68
leueri,resp,1998a,3,y,174,10,Barb&Dan,2002-09-20,,,1998-01-15,4.68
leueri,resp,1998a,4,y,120,6.1,Barb&Dan,2002-09-20,,,1998-01-15,4.68
leueri,resp,1998a,5,y,120,5.2,Barb&Dan,2002-09-20,,,1998-01-15,4.68
leulan,resp,1998a,1,y,173,9.4,Barb&Dan,2002-09-20,,,1998-01-15,4.68
leulan,resp,1998a,2,y,173,12.7,Barb&Dan,2002-09-20,,,1998-01-15,4.68
leulan,resp,1998a,3,y,183,10.8,Barb&Dan,2002-09-20,,,1998-01-15,4.68
leulan,resp,1998a,4,y,185,10.5,Barb&Dan,2002-09-20,,,1998-01-15,4.68
leulan,resp,1998a,5,y,115,13.1,Barb&Dan,2002-09-20,,,1998-01-15,4.68
leulan,resp,1998a,1,y,121,6.7,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
leulan,resp,1998a,2,y,150,9.6,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
leulan,resp,1998a,3,y,115,9.1,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
leulan,resp,1998a,4,y,157,9.1,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
leulan,resp,1998a,5,y,156,10.9,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
leulan,seed,1998a,1,n,15,0.7,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
leulan,seed,1998a,2,n,27,1,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
leulan,seed,1998a,3,n,21,1.2,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
leulan,seed,1998a,4,n,16,0.9,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
monell,seed,1998a,1,n,55,5.1,Barb&Dan,2002-09-20,,,1998-01-15,4.68
monell,seed,1998a,2,n,34,3.2,Barb&Dan,2002-09-20,,,1998-01-15,4.68
monell,seed,1998a,3,n,76,5.9,Barb&Dan,2002-09-20,,,1998-01-15,4.68
monell,seed,1998a,4,n,36,2.7,Barb&Dan,2002-09-20,,,1998-01-15,4.68
monell,seed,1998a,5,n,41,2.9,Barb&Dan,2002-09-20,,,1998-01-15,4.68
monell,seed,1998a,6,n,78,9.3,Barb&Dan,2002-09-20,,,1998-01-15,4.68
monell,seed,1998a,1,n,72,5.3,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
monell,seed,1998a,2,n,100,6.7,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
monell,seed,1998a,3,n,39,3.8,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
monell,seed,1998a,4,n,35,3.7,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
monell,seed,1998a,5,n,32,2.8,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
monell,seed,1998a,6,n,46,3.8,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
oxyili,resp,1998a,1,y,185,12.7,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
oxyili,resp,1998a,2,y,270,14,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
oxyili,resp,1998a,3,y,194,13.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
oxyili,resp,1998a,4,y,236,12.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
oxyili,resp,1998a,5,y,184,8.6,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
perlev,resp,1998a,1,n,55,4,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
pomumb,seed,1998a,1,y,18,1.3,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
pomumb,seed,1998a,2,n,8,0.6,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
pomumb,seed,1998a,3,y,15,0.8,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
pomumb,seed,1998a,4,y,14,1,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
pomumb,seed,1998a,5,y,23,1.5,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
ricpin,resp,1998a,1,y,118,8.8,Barb&Dan,2002-09-20,surviving in a large gap,,1998-01-15,4.68
ricpin,resp,1998a,2,y,130,10.6,Barb&Dan,2002-09-20,surviving in a large gap,,1998-01-15,4.68
tetthy,resp,1998a,1,y,36,1.1,Barb&Dan,2002-09-20,,,1998-01-15,4.68
tetthy,resp,1998a,2,y,46,1.1,Barb&Dan,2002-09-20,,,1998-01-15,4.68
tetthy,resp,1998a,3,y,83,2.2,Barb&Dan,2002-09-20,,,1998-01-15,4.68
tetthy,resp,1998a,4,y,56,1.7,Barb&Dan,2002-09-20,,,1998-01-15,4.68
tetthy,resp,1998a,5,y,61,1.7,Barb&Dan,2002-09-20,,,1998-01-15,4.68
tetthy,resp,1998a,1,y,51,1.7,Dan&AnnaMaria,2002-03-10,,,1998-01-15,4.15
acasop,seed,1994b,1,y,420,69.5,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acasop,seed,1994b,2,y,315,34.8,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acasop,seed,1994b,3,y,328,46.2,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acasop,seed,1994b,4,y,330,28.5,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acasop,seed,1994b,5,y,295,24.7,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acasua,seed,1994b,1,y,115,7,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acasua,seed,1994b,2,y,130,6.8,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acasua,seed,1994b,3,y,151,9,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acasua,seed,1994b,4,y,157,7.7,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acasua,seed,1994b,5,y,174,7.5,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acasua,seed,1994b,6,y,205,8.1,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acauli,seed,1994b,1,y,251,16.3,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acauli,seed,1994b,2,y,310,22.4,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acauli,seed,1994b,3,y,260,16.5,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acauli,seed,1994b,4,y,280,17.3,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acauli,seed,1994b,5,y,268,19,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
acauli,seed,1994b,1,y,216,15.1,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
angcos,seed,1994b,1,n,94,5,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
banser,seed,1994b,1,n,144,10.2,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
banser,seed,1994b,2,n,130,14.5,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
banser,seed,1994b,3,n,172,18.4,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
banser,seed,1994b,4,n,145,10.2,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
banser,seed,1994b,5,n,125,8.6,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
corref,resp,1994b,1,y,134,13,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
corref,resp,1994b,2,y,108,12.8,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
corref,resp,1994b,3,y,148,6.3,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
corref,resp,1994b,4,y,124,8.9,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
corref,resp,1994b,5,y,105,10.3,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
dilret,seed,1994b,2,y,253,16.4,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
dilret,seed,1994b,3,y,202,15.4,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
dilret,seed,1994b,4,y,183,14.2,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
dilret,seed,1994b,5,y,173,8.8,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
epapul,resp,1994b,1,y,143,6.8,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
epapul,resp,1994b,2,y,145,12,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
epapul,resp,1994b,3,y,160,11.5,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
epapul,resp,1994b,4,y,248,13.5,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
epapul,resp,1994b,5,y,162,4,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
eriaus,?,1994b,1,y,145,6.2,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
eriaus,?,1994b,2,y,114,6.8,Dan&AnnaMaria,2003-03-12,,,1994-01-15,9.16
